eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.5814866666666667,0.5829966666666666,0.5839799999999999,0.5822166666666666,0.59413,0.5826466666666666,0.5821700000000001,0.5660933333333333,0.5399866666666666,0.51264,0.48528666666666664,0.45791000000000004,0.43222000000000005,0.41891,0.3863,0.36799000000000004,0.37437333333333334,0.34238999999999997,0.33544666666666667,0.37532333333333334
error_probabilities_validated,0.582962,0.5834496666666666,0.5835593333333333,0.5837876666666666,0.5946856666666667,0.58341,0.5832946666666667,0.567144,0.5407966666666666,0.5135693333333333,0.48687766666666665,0.458912,0.43318766666666664,0.41961266666666663,0.38714366666666666,0.3688073333333334,0.37479166666666663,0.3424596666666667,0.3356176666666667,0.37504766666666667
success_probabilities_validated,0.417038,0.41655033333333336,0.4164406666666667,0.41621233333333335,0.40531433333333333,0.41659,0.4167053333333333,0.432856,0.45920333333333335,0.4864306666666667,0.5131223333333333,0.541088,0.5668123333333334,0.5803873333333334,0.6128563333333333,0.6311926666666666,0.6252083333333334,0.6575403333333333,0.6643823333333333,0.6249523333333333
upper_fidelities,0.9106836047334046,0.922322355235119,0.9300456459712867,0.9328116580285002,0.9435463235048761,0.9252431433985562,0.9150465049113068,0.9005653113367897,0.8820872378281096,0.8592777860404053,0.8327948623153416,0.8022593367773212,0.7685202713501056,0.7446171131040289,0.6912723008421836,0.6491718485013047,0.6403126988966529,0.5554479143110084,0.5061376022568683,0.5697733299566798
lower_fidelities,0.1388888895277787,0.1422801411984907,0.1445654718083038,0.145390477025732,0.14863728178526528,0.14314105656800183,0.14015276839558305,0.13599174419106097,0.13082335408845966,0.12466228440381569,0.11781178102406567,0.11031735678188519,0.10253939676921352,0.09725619121460391,0.08671985544470276,0.07924862258916003,0.07740348006060294,0.06562422577040262,0.060083365039047244,0.06535086892317651
eta0_success_probabilities,0.07174066666666666,0.3331403333333333,0.3321713333333333,0.3327216666666667,0.31014166666666665,0.33329733333333333,0.333321,0.333324,0.3330826666666667,0.33323033333333335,0.332905,0.33332233333333333,0.33318033333333336,0.32708133333333334,0.33328433333333335,0.332995,0.32209766666666667,0.33324766666666666,0.33332333333333336,0.31703233333333336
eta1_success_probabilities,0.08349266666666667,0.08341,0.08426933333333333,0.08349066666666667,0.09517266666666667,0.08329266666666667,0.08338433333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eta2_success_probabilities,0.2618046666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.099532,0.12612066666666666,0.15320033333333333,0.18021733333333334,0.20776566666666665,0.233632,0.253306,0.279572,0.2981976666666667,0.30311066666666664,0.3242926666666667,0.331059,0.30792
eta_assigned_state_00,$\eta2$,$\eta1$,$\eta1$,None,$\eta1$,$\eta0$,$\eta0$,None,None,None,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,None,$\eta2$
eta_assigned_state_01,$\eta1$,$\eta1$,$\eta0$,None,$\eta1$,$\eta1$,$\eta1$,None,None,None,$\eta2$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,None,$\eta0$
eta_assigned_state_10,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,None,$\eta2$,$\eta0$,$\eta0$,$\eta0$,None,$\eta2$,$\eta2$,$\eta2$,None,$\eta0$,None,$\eta0$,$\eta0$
eta_assigned_state_11,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,None,$\eta0$,$\eta2$,$\eta2$,$\eta2$,None,$\eta0$,$\eta2$,$\eta0$,None,$\eta2$,None,$\eta2$,$\eta2$
counts_00_eta0,784764,118,2291,**0,24129,**129018,**999963,**0,**0,**0,**49080,**999967,178,**748058,29,**998985,**597064,**999743,**0,7835
counts_00_eta1,589047,**228073,**46032,0,**206826,96683,749847,0,0,0,36880,750254,92934,565861,50865,749270,442515,750121,0,165899
counts_00_eta2,**785414,6304,7134,0,101351,107949,773434,0,0,0,22448,376703,**259760,181189,**169789,105407,31505,27122,0,**680882
counts_01_eta0,1,461,**909236,**0,45446,86,37,**0,**0,**0,1231,33,**370905,**233186,**202676,1015,9945,257,**0,**369773
counts_01_eta1,**196701,**22157,681984,0,**78692,**32346,**250153,0,0,0,13634,249746,277940,176401,152015,250730,214580,249879,0,298777
counts_01_eta2,4,1087,884918,0,59349,20975,226566,0,0,0,**27815,**623297,111029,58893,32713,**894593,**781338,**972878,0,35963
counts_10_eta0,**215222,**912193,1195,**998165,**307966,22,**0,28,**999248,**999691,**949635,**0,281,7619,118,**0,**369229,**0,**999970,**581324
counts_10_eta1,160475,684482,**206776,749528,232986,**217532,0,250103,749190,749959,712541,0,158340,96852,198901,0,294427,0,750272,445613
counts_10_eta2,214569,905854,23339,937906,275287,140464,0,**298596,621638,540399,436900,0,**441136,**283381,**668927,0,59163,0,6823,40277
counts_11_eta0,13,**87228,**87278,1835,**622459,**870874,**0,**999972,752,309,54,**0,**628636,11137,**797177,**0,23762,**0,30,41068
counts_11_eta1,**53777,65288,65208,**250472,481496,653439,0,749897,250810,250041,236945,0,470786,160886,598219,0,48478,0,249728,89711
counts_11_eta2,13,86755,84609,62094,564013,730612,0,701404,**378362,**459601,**512837,0,188075,**476537,128571,0,**127994,0,**993177,**242878
total_counts,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
