eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.3333466666666667,0.33554666666666666,0.3420533333333333,0.35567000000000004,0.36794000000000004,0.38655666666666666,0.4078833333333334,0.4523466666666667,0.46431,0.4877366666666667,0.5116866666666666,0.52003,0.5592833333333334,0.55586,0.5542866666666666,0.56814,0.5658633333333334,0.5653466666666667,0.5685899999999999,0.5659366666666666
error_probabilities_validated,0.3333476666666667,0.3356433333333333,0.3423913333333334,0.3554303333333333,0.3687263333333334,0.38716533333333336,0.4089303333333333,0.4524056666666667,0.464765,0.48790599999999995,0.513098,0.5199016666666667,0.558539,0.5563279999999999,0.5557896666666666,0.5689873333333333,0.565516,0.5652206666666666,0.5682003333333333,0.5658046666666667
success_probabilities_validated,0.6666523333333333,0.6643566666666667,0.6576086666666666,0.6445696666666667,0.6312736666666666,0.6128346666666666,0.5910696666666667,0.5475943333333333,0.535235,0.512094,0.486902,0.48009833333333335,0.441461,0.443672,0.4442103333333333,0.43101266666666666,0.434484,0.43477933333333335,0.4317996666666667,0.4341953333333333
upper_fidelities,0.4553418013148398,0.5103861744341638,0.5554479141516424,0.6084524395873128,0.6482771620762093,0.6911619788884443,0.7312974018866131,0.8028844377457566,0.8217199933659343,0.8336127197844168,0.9064972719922126,0.9083627130735894,0.9250146302102347,0.939113607577261,0.9520039546940451,0.9602921532764523,0.9622617006821176,0.9646886523569785,0.9440346051217554,0.9344199136492064
lower_fidelities,0.05555555556969673,0.06050526829400268,0.06562422574177813,0.0727355615034768,0.07911702944518857,0.0867009235376914,0.09457181111634616,0.11040053504451146,0.11500273529954952,0.11801716971659551,0.13766384084640837,0.13821129736609353,0.1430762096372489,0.14729781578845783,0.15124232162385876,0.15382241427630072,0.1544406018068101,0.15520633981750032,0.14879339666852093,0.14588182482179265
eta0_success_probabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14387833333333333,0.15272033333333335,0.126298,0.167915,0.168145,0.144683,0.127058
eta1_success_probabilities,0.333328,0.3333083333333333,0.333303,0.3333216666666667,0.333185,0.333239,0.33323433333333335,0.310773,0.3244066666666667,0.3328586666666667,0.2944833333333333,0.311486,0.28631433333333334,0.2997936666666667,0.29149,0.3047146666666667,0.252955,0.2666343333333333,0.2871166666666667,0.0
eta2_success_probabilities,0.33332433333333333,0.33104833333333333,0.32430566666666666,0.311248,0.29808866666666667,0.2795956666666667,0.25783533333333336,0.23682133333333333,0.21082833333333334,0.17923533333333333,0.19241866666666665,0.16861233333333334,0.15514666666666665,0.0,0.0,0.0,0.013614,0.0,0.0,0.3071373333333333
eta_assigned_state_00,$\eta2$,$\eta2$,$\eta1$,$\eta1$,$\eta2$,$\eta2$,None,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta2$
eta_assigned_state_01,$\eta1$,$\eta1$,$\eta2$,$\eta2$,$\eta1$,$\eta1$,None,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta2$
eta_assigned_state_10,$\eta2$,$\eta1$,None,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta2$
eta_assigned_state_11,$\eta1$,$\eta1$,None,$\eta2$,$\eta1$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta0$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta0$
counts_00_eta0,74556,254299,750561,172296,110361,28025,**0,148351,142722,3841,150916,393034,245922,30945,**458161,322186,**503745,136129,**434049,366619
counts_00_eta1,12,75,**999909,**229096,200,250,0,33814,**187764,**6386,**248856,65542,**334731,**183270,125530,**430491,201491,**172882,138650,474236
counts_00_eta2,**297112,**993145,27083,15280,**393623,**93118,0,**345986,74140,2176,110806,**505837,229446,35574,376452,381015,333457,169747,172533,**474339
counts_01_eta0,223093,736566,249439,29891,330338,83556,**0,300580,22984,3162,323811,410431,79255,190507,313087,**378894,52988,**504435,24541,205214
counts_01_eta1,**297950,**981911,91,6,**440317,**111078,0,**446462,697,**3546,**463569,**547616,**156429,**253057,**416993,85856,**224607,200097,**65406,258409
counts_01_eta2,20,6755,**972917,**112325,46517,18146,0,132643,**52916,3397,234789,341331,73694,196485,349300,250860,124872,284840,54760,**258685
counts_10_eta0,175391,7179,**0,580124,139891,665794,750152,369437,572732,249248,419158,170878,246487,346913,168581,223873,39660,99337,37926,46993
counts_10_eta1,4,**9465,0,**770869,245,**888639,**999703,**485857,**785456,1424,116550,**227691,**367783,**463054,**224668,**359276,39644,**285097,**86732,188101
counts_10_eta2,**702861,65,0,50976,**500643,143067,226494,156893,293375,**537706,**577256,141561,231420,358018,188890,273971,**40842,212898,76721,**188388
counts_11_eta0,526960,1956,**0,217689,419410,222625,249848,181632,261562,743749,106115,25657,428336,**431635,60171,75047,403607,260099,503484,**381174
counts_11_eta1,**702034,**8549,0,29,**559238,33,297,33867,26083,**988644,**171025,**159151,141057,100619,**232809,**124377,**534258,**341924,**709212,79254
counts_11_eta2,7,35,0,**821419,59217,**745669,**773506,**364478,**579569,456721,77149,11271,**465440,409923,85358,94154,500829,332515,695986,78588
