eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.34983333333333333,0.3356,0.3435666666666667,0.3524666666666667,0.40926666666666667,0.38426666666666665,0.4109666666666667,0.42966666666666664,0.45430000000000004,0.4885666666666667,0.5150333333333333,0.5376666666666667,0.5405333333333333,0.5672666666666666,0.5696666666666667,0.5675333333333333,0.5653666666666667,0.5653333333333334,0.5688,0.5637666666666667
error_probabilities_validated,0.3494206666666667,0.33598799999999995,0.3439306666666667,0.35403166666666663,0.40802499999999997,0.3882443333333333,0.41114799999999996,0.43315099999999995,0.4547536666666666,0.49176,0.513146,0.5372060000000001,0.5462126666666667,0.5675786666666667,0.5762863333333333,0.5685316666666667,0.5674699999999999,0.5635209999999999,0.5664996666666666,0.5683823333333333
success_probabilities_validated,0.6505793333333333,0.664012,0.6560693333333333,0.6459683333333334,0.591975,0.6117556666666667,0.588852,0.566849,0.5452463333333334,0.50824,0.486854,0.462794,0.4537873333333333,0.4324213333333333,0.42371366666666666,0.43146833333333334,0.43253,0.436479,0.4335003333333333,0.4316176666666667
upper_fidelities,0.527755275283509,0.5061376043261714,0.5554479170789978,0.6029358974737653,0.6958235499817909,0.6911619780327958,0.7327145694302215,0.768409270312494,0.8363791206760922,0.8645632221091993,0.9000326700639598,0.9019328397531743,0.9197320514051561,0.9528063821416943,0.9380618160931986,0.9572040484795994,0.9617646638624038,0.9560978021018314,0.9448135502730993,0.9329655780529789
lower_fidelities,0.062132943456962846,0.060083365611778905,0.06562422641609571,0.0720269974116709,0.08748067557995792,0.08670092331599882,0.09485652817832073,0.10251499608189829,0.1186735925326051,0.12603420740762736,0.13581857939264183,0.13637164146760725,0.14152023018154275,0.15149216949722508,0.14697711881510403,0.15285633710418783,0.15428451274562993,0.1525120458503135,0.1490314551817586,0.14544526286499987
eta0_success_probabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14910633333333334,0.15492966666666666,0.157954,0.14810633333333334,0.135083,0.15295933333333334,0.130248
eta1_success_probabilities,0.32297033333333336,0.33313566666666666,0.33256,0.332966,0.32682466666666665,0.3327926666666667,0.3328046666666667,0.33311266666666667,0.32173366666666664,0.31548566666666666,0.317631,0.3229613333333333,0.30974833333333335,0.283315,0.268784,0.27351433333333336,0.2844236666666667,0.301396,0.280541,0.10033633333333333
eta2_success_probabilities,0.327609,0.33087633333333333,0.3235093333333333,0.3130023333333333,0.2651503333333333,0.278963,0.25604733333333335,0.23373633333333332,0.22351266666666667,0.19275433333333333,0.169223,0.13983266666666666,0.144039,0.0,0.0,0.0,0.0,0.0,0.0,0.20103333333333334
eta_assigned_state_00,$\eta2$,$\eta2$,$\eta1$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta1$,$\eta2$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$
eta_assigned_state_01,$\eta1$,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$
eta_assigned_state_10,$\eta2$,$\eta2$,$\eta1$,None,$\eta1$,None,$\eta2$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta1$
eta_assigned_state_11,$\eta1$,$\eta1$,$\eta2$,None,$\eta1$,None,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta2$
counts_00_eta0,247994,178265,161786,250154,268687,250251,129766,126000,289482,341954,337889,116530,5953,138938,475997,131523,111724,223297,268464,371074
counts_00_eta1,9546,164,**215067,1102,19526,1622,738,332,**385357,53543,47107,**147121,**122079,**189358,**682024,**216505,**223776,**295075,**458526,476165
counts_00_eta2,**816984,**703296,6219,**939007,**795451,**836889,**400438,**353875,146749,**578263,**507669,104875,2632,142668,534464,163275,163449,287823,432271,**476457
counts_01_eta0,538222,530050,54002,749846,396703,749749,393588,379177,344268,63867,294814,438397,222706,105625,**380594,374890,**444319,183728,45577,**390744
counts_01_eta1,**722026,**709081,508,**998898,**535386,**998378,**520157,**504715,34799,**108500,**389321,**592907,**297412,**273127,112212,**512011,146729,**260814,**78947,96608
counts_01_eta2,6821,5004,**210144,60993,80551,163111,123479,151268,**670538,45803,217550,368065,208288,112825,311141,446369,268205,241811,74293,96635
counts_10_eta0,60390,73258,586637,**0,86414,**0,119184,123787,25179,267413,234279,312823,382863,308118,59214,19725,363970,**405249,227081,183482
counts_10_eta1,21543,429,**782613,0,**96261,0,848,330,**132780,**354273,**295538,31116,**509754,**387460,**124328,**92027,**522125,95812,**304150,**301009
counts_10_eta2,**165843,**289333,23253,0,49464,0,**367704,**347334,3055,179255,180210,**419498,356963,315214,71287,35904,468465,173109,300018,300265
counts_11_eta0,153394,218427,197575,**0,248196,**0,357462,371036,341071,326766,133018,132250,388478,**447319,**84195,**473862,79987,187726,**458878,54700
