eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.41403333333333336,0.4153766666666666,0.41579,0.41552333333333336,0.41561000000000003,0.41555333333333333,0.41527000000000003,0.4155566666666667,0.41545,0.41555333333333333,0.41573000000000004,0.41558666666666666,0.41517666666666664,0.4077733333333333,0.38639999999999997,0.36755666666666664,0.35284666666666664,0.34195,0.33533999999999997,0.33333999999999997
error_probabilities_validated,0.4167303333333333,0.41699733333333333,0.41677433333333336,0.41685700000000003,0.4166226666666667,0.4170556666666667,0.416666,0.41727499999999995,0.41685000000000005,0.4167476666666666,0.41716699999999995,0.41631300000000004,0.41680433333333333,0.40907000000000004,0.38728666666666667,0.36849299999999996,0.3536303333333334,0.3423693333333333,0.3356463333333334,0.3333413333333334
success_probabilities_validated,0.5832696666666667,0.5830026666666667,0.5832256666666666,0.583143,0.5833773333333333,0.5829443333333333,0.583334,0.582725,0.58315,0.5832523333333334,0.582833,0.583687,0.5831956666666667,0.59093,0.6127133333333333,0.631507,0.6463696666666666,0.6576306666666667,0.6643536666666666,0.6666586666666666
upper_fidelities,0.6666666702472238,0.6887975171853093,0.7073616859332915,0.7222805013585404,0.7333117551556163,0.740512814062292,0.7437977223451806,0.7433872404429545,0.7385448591954207,0.7301748365735796,0.7176926596615001,0.7015783021629622,0.6818098919680788,0.6586957461259768,0.6319361103580434,0.6020503209578909,0.5692511624953366,0.5337019468409842,0.4956455021732773,0.45534180139126074
lower_fidelities,0.08333333434042459,0.08710343750948689,0.09039185066183796,0.09311832729627638,0.09518116223208523,0.09654990018713676,0.09718004275482246,0.09710519179387582,0.09617411122007846,0.09459198095292008,0.09227160765928338,0.08935507659088057,0.08589542376101322,0.08201520926341305,0.0777456206987624,0.07325982109593847,0.06867904604630966,0.06411914991681947,0.05970451237195058,0.0555555555912582
eta0_success_probabilities,0.016898,0.33320533333333335,0.33329033333333336,0.33316633333333334,0.333307,0.333209,0.333282,0.33332266666666666,0.3333006666666667,0.333313,0.33307733333333334,0.33331533333333335,0.3333083333333333,0.333091,0.33325333333333335,0.33331266666666665,0.333289,0.3333273333333333,0.33331466666666665,0.33333066666666666
eta1_success_probabilities,0.24997666666666668,0.24979733333333334,0.24993533333333334,0.24997666666666668,0.25007033333333334,0.24973533333333334,0.250052,0.24940233333333334,0.24984933333333334,0.24993933333333335,0.24975566666666665,0.25037166666666666,0.249887,0.00016766666666666666,0.0,0.0,0.0,0.0,0.0,0.0
eta2_success_probabilities,0.316395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335e-07,0.2576713333333333,0.27946,0.29819433333333334,0.3130806666666667,0.32430333333333333,0.331039,0.333328
eta_assigned_state_00,$\eta2$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta0$,$\eta0$,$\eta2$
eta_assigned_state_01,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta2$,None,$\eta0$,$\eta0$,$\eta2$
eta_assigned_state_10,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta2$,$\eta2$,$\eta0$
eta_assigned_state_11,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta2$,$\eta1$,$\eta2$,$\eta0$,None,$\eta2$,$\eta2$,$\eta0$
counts_00_eta0,949126,378,**172283,60,**998759,**410989,146,1,98,**980570,643,**999181,74,232,**881111,0,133,**243451,**999888,8
counts_00_eta1,237403,**741123,42989,**79750,249469,103459,**711371,**23468,**748822,244848,**618430,248686,**749659,749738,222342,6939,748991,60719,250774,750755
counts_00_eta2,**949185,7195,167202,6248,893618,345258,215267,9363,376818,530945,446617,376645,700798,**773014,144322,**8343,**939242,6673,6882,**999635
counts_01_eta0,**50694,6,**827588,441,**1162,**588638,8,31,0,**19369,125,**765,0,**1,**118649,62,**0,**756531,**56,0
counts_01_eta1,12667,**8269,207205,**670180,320,147335,**38785,**724739,**726,5334,**130837,199,**2,0,27437,742658,0,189614,12,276
counts_01_eta2,50618,74,805451,54280,1057,492375,11583,289517,388,10899,94985,301,1,0,17298,**886240,0,20417,1,**349
counts_10_eta0,171,**988471,17,**107828,79,156,**948058,**32249,**998840,61,**823813,54,**999925,**999272,209,**9210,**999867,4,56,**999667
counts_10_eta1,**711693,247835,**129590,27425,**749475,**308224,236942,8801,250194,**735887,206835,**750572,250339,249759,655489,2493,251009,183428,749169,248869
counts_10_eta2,187,981631,4792,101199,105225,66559,732866,22922,622157,449791,378001,622577,299200,226485,**731700,974,60758,**237026,**993065,16
counts_11_eta0,9,**11145,112,**891671,0,217,**51788,**967719,**1062,0,**175419,0,**1,495,31,**990728,**0,14,0,**325
counts_11_eta1,**38237,2773,**620216,222645,**736,**440982,12902,242992,258,**13931,43898,**543,0,**503,94732,247910,0,566239,45,100
counts_11_eta2,10,11100,22555,838273,100,95808,40284,678198,637,8365,80397,477,1,501,**106680,104443,0,**735884,**52,0
total_counts,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
