eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.33333999999999997,0.33541333333333334,0.34186000000000005,0.35274666666666665,0.3676366666666666,0.38608333333333333,0.40793999999999997,0.4153066666666667,0.4153066666666667,0.41532,0.41508999999999996,0.41544666666666663,0.41513333333333335,0.41529000000000005,0.41535999999999995,0.41531666666666667,0.4153566666666667,0.41540333333333335,0.41518,0.41383666666666663
error_probabilities_validated,0.33335366666666666,0.33569499999999997,0.34235266666666664,0.35343066666666667,0.368614,0.387394,0.4092526666666667,0.4166376666666667,0.41673366666666667,0.41675566666666664,0.41661666666666664,0.4167126666666666,0.416524,0.41684066666666664,0.4165123333333334,0.41652599999999995,0.416647,0.41678933333333334,0.4167586666666667,0.41662
success_probabilities_validated,0.6666463333333333,0.664305,0.6576473333333334,0.6465693333333333,0.631386,0.612606,0.5907473333333333,0.5833623333333333,0.5832663333333333,0.5832443333333334,0.5833833333333334,0.5832873333333334,0.583476,0.5831593333333334,0.5834876666666666,0.583474,0.583353,0.5832106666666667,0.5832413333333333,0.58338
upper_fidelities,0.45534180144442354,0.49564550206909885,0.5337019438529682,0.5692511625196481,0.6020725380225804,0.6318753673236395,0.6589144943049191,0.6818098915185808,0.7015782668203687,0.7176926514177255,0.7300429720672668,0.7385448590208554,0.7431402421247082,0.7437977219168819,0.7405128111234227,0.7333278092704295,0.7222323556777752,0.7073616873841233,0.6887975168975263,0.6666666666666665
lower_fidelities,0.055555555605013414,0.05970451235646773,0.06411914911579758,0.06867904604829908,0.07326284508918736,0.07773652252782479,0.08205081425759715,0.08589542368513832,0.08935507015498492,0.09227160597847903,0.09456547701058647,0.09617411116454636,0.09705363073821989,0.09718004259968385,0.09654989959177765,0.09518441750211337,0.09310887246773131,0.09039185094197463,0.08710343746584392,0.08333333333333331
eta0_success_probabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250029,0.249933,0.249911,0.25005,0.24995866666666666,0.2501426666666667,0.249826,0.2501543333333333,0.25016133333333335,0.25001966666666664,0.24987733333333334,0.249908,0.25004666666666664
eta1_success_probabilities,0.333325,0.333306,0.333329,0.3333083333333333,0.3332846666666667,0.33322633333333335,0.3328696666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33332866666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33331266666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
eta2_success_probabilities,0.33332133333333336,0.330999,0.3243183333333333,0.313261,0.29810133333333333,0.2793796666666667,0.25787766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
eta_assigned_state_00,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$
eta_assigned_state_01,$\eta1$,$\eta1$,None,None,$\eta1$,None,$\eta1$,None,$\eta1$,None,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,None,$\eta1$,$\eta1$,None
