eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.33333999999999997,0.33541333333333334,0.34186000000000005,0.35274666666666665,0.3676366666666666,0.38608333333333333,0.40793999999999997,0.4153066666666667,0.4153066666666667,0.41532,0.41508999999999996,0.41544666666666663,0.41513333333333335,0.41529000000000005,0.41535999999999995,0.41531666666666667,0.4153566666666667,0.41540333333333335,0.41518,0.41383666666666663
error_probabilities_validated,0.3333466666666667,0.33568333333333333,0.3422966666666667,0.35359666666666667,0.3686366666666666,0.38737,0.40917666666666663,0.41652999999999996,0.4168733333333333,0.4168333333333333,0.41661666666666664,0.4163733333333334,0.41557999999999995,0.4167333333333333,0.4171733333333333,0.41680666666666666,0.41712000000000005,0.4169466666666667,0.41657,0.41662333333333335
success_probabilities_validated,0.6666533333333333,0.6643166666666667,0.6577033333333333,0.6464033333333333,0.6313633333333334,0.61263,0.5908233333333334,0.58347,0.5831266666666667,0.5831666666666667,0.5833833333333334,0.5836266666666666,0.58442,0.5832666666666667,0.5828266666666667,0.5831933333333333,0.58288,0.5830533333333333,0.58343,0.5833766666666667
upper_fidelities,0.45534180144442354,0.49564550206909885,0.5337019438529682,0.5692511625196481,0.6020725380225804,0.6318753673236395,0.6589144943049191,0.6818098915185808,0.7015782668203687,0.7176926514177255,0.7300429720672668,0.7385448590208554,0.7431402421247082,0.7437977219168819,0.7405128111234227,0.7333278092704295,0.7222323556777752,0.7073616873841233,0.6887975168975263,0.6666666666666665
lower_fidelities,0.055555555605013414,0.05970451235646773,0.06411914911579758,0.06867904604829908,0.07326284508918736,0.07773652252782479,0.08205081425759715,0.08589542368513832,0.08935507015498492,0.09227160597847903,0.09456547701058647,0.09617411116454636,0.09705363073821989,0.09718004259968385,0.09654989959177765,0.09518441750211337,0.09310887246773131,0.09039185094197463,0.08710343746584392,0.08333333333333331
eta0_success_probabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501366666666667,0.24979333333333334,0.24983333333333332,0.25005,0.2502933333333333,0.2510866666666667,0.24993333333333334,0.24949333333333334,0.24988333333333335,0.24954666666666667,0.24972,0.2500966666666667,0.25004333333333334
eta1_success_probabilities,0.33332333333333336,0.33330666666666664,0.33333,0.33330666666666664,0.33329333333333333,0.3332366666666667,0.33284,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33331,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
eta2_success_probabilities,0.33333,0.33101,0.32437333333333335,0.3130966666666667,0.29807,0.2793933333333333,0.25798333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
eta_assigned_state_00,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta2$
eta_assigned_state_01,$\eta1$,$\eta1$,None,None,$\eta1$,None,$\eta1$,None,$\eta1$,None,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,$\eta1$,None,$\eta1$,$\eta1$,None
eta_assigned_state_10,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$
eta_assigned_state_11,$\eta2$,$\eta2$,None,None,$\eta2$,None,$\eta2$,None,$\eta0$,None,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,None,$\eta0$,$\eta0$,None
counts_00_eta0,196,23985,24944,24940,24929,25037,24896,24959,25062,25050,22641,12314,3384,23165,24900,24951,25136,6151,24971,24987
counts_00_eta1,**832,**95790,**99999,**99992,**99719,**99971,**99155,**100000,**99999,**100000,**90667,**49454,**13776,**92796,**98990,**99585,**100000,**24473,**99997,**100000
counts_00_eta2,0,662,2688,6071,10545,16182,22451,29758,37874,45997,48919,30908,9644,71791,83123,89178,93976,23842,99368,100000
counts_01_eta0,24836,1052,**0,**0,83,**0,190,**0,0,**0,2344,12598,21290,1855,252,84,**0,18933,0,**0
counts_01_eta1,**99165,**4202,0,0,**269,0,**697,0,**1,0,**9333,**50546,**86224,**7204,**1010,**408,0,**75527,**3,0
counts_01_eta2,1,35,0,0,34,0,154,0,0,0,5062,31161,60467,5604,841,353,0,73358,1,0
counts_10_eta0,604,71823,75056,75060,74852,74963,74296,**75041,**74937,**74950,**67755,**37217,**10543,**69555,**74116,**74558,**74864,**18199,**75027,**75013
counts_10_eta1,0,8,1,8,5,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0
counts_10_eta2,**794,**95114,**97312,**93929,**89268,**83818,**76707,70242,62126,54003,41713,18665,4062,20952,15872,10383,6024,710,631,0
counts_11_eta0,74364,3140,**0,**0,136,**0,618,**0,**1,**0,**7260,**37871,**64783,**5425,**732,**407,**0,**56717,**2,**0
counts_11_eta1,3,0,0,0,7,0,121,0,0,0,0,0,0,0,0,7,0,0,0,0
counts_11_eta2,**99205,**4189,0,0,**153,0,**688,0,0,0,4306,19266,25827,1653,164,86,0,2090,0,0
total_counts,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
